#date,diff
2016/8/13 22:52:30,18
2016/8/13 22:53:00,23
2016/8/13 22:53:30,21
2016/8/13 22:54:00,11
2016/8/13 22:54:30,17
2016/8/13 22:55:00,16
2016/8/13 22:55:30,23
2016/8/13 22:56:00,27
2016/8/13 22:56:30,9
2016/8/13 22:57:00,37
2016/8/13 22:57:30,32
2016/8/13 22:58:00,20
2016/8/13 22:58:30,13
2016/8/13 22:59:00,0
2016/8/13 23:00:00,13
2016/8/13 23:00:30,8
2016/8/13 23:01:00,23
2016/8/13 23:01:30,18
2016/8/13 23:02:00,27
2016/8/13 23:02:30,27
2016/8/13 23:03:00,18
2016/8/13 23:03:30,13
2016/8/13 23:04:00,9
2016/8/13 23:04:30,13
2016/8/13 23:05:00,16
2016/8/13 23:05:30,20
2016/8/13 23:06:00,22
2016/8/13 23:06:30,15
2016/8/13 23:07:00,9
2016/8/13 23:07:30,16
2016/8/13 23:08:00,18
2016/8/13 23:08:30,21
2016/8/13 23:09:00,11
2016/8/13 23:09:30,14
2016/8/13 23:10:00,12
2016/8/13 23:10:30,6
2016/8/13 23:11:00,15
2016/8/13 23:11:30,14
2016/8/13 23:12:00,9
2016/8/13 23:12:30,1
2016/8/13 23:13:00,15
2016/8/13 23:13:30,9
2016/8/13 23:14:00,8
2016/8/13 23:14:30,8
2016/8/13 23:15:00,7
2016/8/13 23:15:30,9
2016/8/13 23:16:00,15
2016/8/13 23:16:30,10
2016/8/13 23:17:00,7
2016/8/13 23:17:30,9
2016/8/13 23:18:00,13
2016/8/13 23:18:30,10
2016/8/13 23:19:00,11
2016/8/13 23:19:30,11
2016/8/13 23:20:00,19
2016/8/13 23:20:30,14
2016/8/13 23:21:00,14
2016/8/13 23:21:30,9
2016/8/13 23:22:00,7
2016/8/13 23:22:30,25
2016/8/13 23:23:00,24
2016/8/13 23:23:30,17
2016/8/13 23:24:00,16
2016/8/13 23:24:30,18
2016/8/13 23:25:00,13
2016/8/13 23:25:30,13
2016/8/13 23:26:00,11
2016/8/13 23:26:30,10
2016/8/13 23:27:00,22
2016/8/13 23:27:30,6
2016/8/13 23:28:00,13
2016/8/13 23:28:30,6
2016/8/13 23:29:00,9
2016/8/13 23:29:30,13
2016/8/13 23:30:00,17
2016/8/13 23:30:30,12
2016/8/13 23:31:00,14
2016/8/13 23:31:30,12
2016/8/13 23:32:00,10
2016/8/13 23:32:30,22
2016/8/13 23:33:00,1
2016/8/13 23:33:30,6
2016/8/13 23:34:00,4
2016/8/13 23:34:30,9
2016/8/13 23:35:00,3
2016/8/13 23:35:30,11
2016/8/13 23:36:00,13
2016/8/13 23:36:30,7
2016/8/13 23:37:00,4
2016/8/13 23:37:30,12
2016/8/13 23:38:00,9
2016/8/13 23:38:30,6
2016/8/13 23:39:00,11
2016/8/13 23:39:30,10
2016/8/13 23:40:00,8
2016/8/13 23:40:30,0
2016/8/13 23:41:00,2
2016/8/13 23:41:30,2
2016/8/13 23:42:00,8
2016/8/13 23:42:30,9
2016/8/13 23:43:00,5
2016/8/13 23:43:30,10
2016/8/13 23:44:00,1
2016/8/13 23:44:30,2
2016/8/13 23:45:00,4
2016/8/13 23:45:30,8
2016/8/13 23:46:00,4
2016/8/13 23:46:30,0
2016/8/13 23:47:00,1
2016/8/13 23:47:30,0
2016/8/13 23:48:00,0
2016/8/13 23:48:30,3
2016/8/13 23:49:00,2
2016/8/13 23:49:30,0
2016/8/13 23:50:00,1
2016/8/13 23:50:30,0
2016/8/13 23:51:00,5
2016/8/13 23:51:30,4
2016/8/13 23:52:00,1
2016/8/13 23:52:30,0
2016/8/13 23:53:00,0
2016/8/13 23:53:30,1
2016/8/13 23:54:00,5
2016/8/13 23:54:30,1
2016/8/13 23:55:00,1
2016/8/13 23:55:30,0
2016/8/13 23:56:00,2
2016/8/13 23:56:30,1
2016/8/13 23:57:00,1
2016/8/13 23:57:30,1
2016/8/13 23:58:00,3
2016/8/13 23:58:30,1
2016/8/13 23:59:00,0
